Nom du programme,Numéro du programme,Type du programme,Profil de formation du programme,Cycle d'études,Département
Programme court d'inititation aux fondements de la gestion,477,Attestation d'études,Inititation aux fondements de la gestion,Premier cycle,Administration
Programme court en développement économique local et communautaire,121,Attestation d'études,Développement économique local et communautaire,Premier cycle,Administration
Programme court en gestion du tourisme,535,Attestation d'études,Gestion du tourisme,Premier cycle,Administration
Programme court en marketing,975,Attestation d'études,Marketing,Premier cycle,Administration
Programme court sur mesure en gestion d'entreprise,421,Attestation d'études,Gestion d'entreprise,Premier cycle,Administration
Certificat en administration,4397,Certificat,Administration,Premier cycle,Administration
Certificat en administration de services,4480,Certificat,Administration de services,Premier cycle,Administration
Certificat en gestion des services de santé et des services sociaux,4459,Certificat,Gestion des services de santé et des services sociaux,Premier cycle,Administration
Certificat en en gestion du tourisme,4734,Certificat,Gestion du tourisme,Premier cycle,Administration
Certificat en gestion du travail de bureau,4386,Certificat,Gestion du travail de bureau,Premier cycle,Administration
Certificat en management,4084,Certificat,Management,Premier cycle,Administration
Baccalauréat en administration (cheminement général),7764,Baccalauréat,Administration (cheminement général),Premier cycle,Administration
Baccalauréat en administration (cheminement général bilingue- français/anglais),7364,Baccalauréat,Administration (cheminement général bilingue - français/anglais),Premier cycle,Administration
Baccalauréat en administration (concentration en développement local et économie sociale),6771,Baccalauréat,Administration (développement local et économie sociale),Premier cycle,Administration
Baccalauréat en administration (concentration en gestion des services de santé et des services sociaux),6773,Baccalauréat,Administration ( gestion des services de santé et des services sociaux),Premier cycle,Administration
Baccalauréat en administration (concentration en management),6768,Baccalauréat,Administration (management),Premier cycle,Administration
Baccalauréat en administration (concentration en marketing),6769,Baccalauréat,Administration (marketing),Premier cycle,Administration
Programme court en gestion de projets créatifs,740,Attestation d'études,Gestion de projets créatifs,Deuxième cycle,Administration
Programme court en organisation des services de santé et des services sociaux,684,Attestation d'études,Organisation des services de santé et des services sociaux,Deuxième cycle,Administration
Programme court en communication appliquée aux relations publiques,225,Attestation d'études,Communication appliquée aux relations publiques,Premier cycle,Communication
"Programme court en médias, information et rapports sociaux",768,Attestation d'études,"Médias, information et rapports sociaux",Premier cycle,Communication
Programme court personnalisé en communication,891,Attestation d'études,Communication,Premier cycle,Communication
Certificat en analyse des médias,4381,Certificat,Analyse des médias,Premier cycle,Communication
Certificat en communication organisationnelle,4379,Certificat,Communication organisationnelle,Premier cycle,Communication
Certificat en relations publiques,4039,Certificat,Relations publiques,Premier cycle,Communication
Baccalauréat en communication,7887,Baccalauréat,Communication,Premier cycle,Communication
Programme court en comptabilité,374,Attestation d'études,Comptabilité,Premier cycle,Comptabilité
Programme court en comptabilité et finance,6,Attestation d'études,Comptabilité et finance,Premier cycle,Comptabilité
Programme court en sciences comptables,674,Attestation d'études,Sciences comptables,Premier cycle,Comptabilité
Certificat en préparation CPA,4445,Certificat,Préparation CPA,Premier cycle,Comptabilité
Certificat en comptabilité générale,4227,Certificat,Comptabilité générale,Premier cycle,Comptabilité
Certificat en sciences comptables,4138,Certificat,Sciences comptables,Premier cycle,Comptabilité
Baccalauréat en administration (concentration en comptabilité et finance),6774,Baccalauréat,Administration (comptabilité et finance),Premier cycle,Comptabilité
Programme court en droit et gouvernance de l'entreprise,9007,Attestation d'études,Droit et gouvernance de l'entreprise,Premier cycle,Droit
Programme court en économie,979,Attestation d'études,Économie,Premier cycle,Économie
Certificat en économie,4013,Certificat,Économie,Premier cycle,Économie
Baccalauréat en administration (concentration en économie),6775,Baccalauréat,Administration (économie),Premier cycle,Économie
Programme court de perfectionnement en éducation,9012,Attestation d'études,Perfectionnement en éducation,Premier cycle,Éducation
Programme court en intervention éducative auprès des adultes,494,Attestation d'études,Intervention éducative auprès des adultes,Premier cycle,Éducation
Programme court Enseigner et apprendre avec le numérique,9019,Attestation d'études,Enseigner et apprendre avec le numérique,Premier cycle,Éducation
Majeure en éducation des adultes,6394,Majeure,Éducation avec majeure(s),Premier cycle,Éducation
Programme court en design pédagogique,638,Attestation d'études,Design pédagogique,Deuxième cycle,Éducation
Programme court en efficacité de l'enseignement et des écoles,666,Attestation d'études,Efficacité de l'enseignement et des écoles,Deuxième cycle,Éducation
Programme court en formation à distance,892,Attestation d'études,Formation à distance,Deuxième cycle,Éducation
Programme court en technologie éducative,584,Attestation d'études,Technologie éducative,Deuxième cycle,Éducation
Programme court en en entrepreneuriat,470,Attestation d'études,Entrepreneuriat,Premier cycle,Entrepreneuriat
Certificat en compétences entrepreneuriales et gestion des PME/PMO,4089,Certificat,Compétences entrepreneuriales et gestion des PME/PMO,Premier cycle,Entrepreneuriat
Baccalauréat en administration (concentration en entrepreneuriat),6772,Baccalauréat,Administration (entrepreneuriat),Premier cycle,Entrepreneuriat
Programme court en gestion des ressources fauniques,265,Attestation d'études,Gestion des ressources fauniques,Premier cycle,Environnement
Certificat en sciences de l'environnement,4390,Certificat,Sciences de l'environnement,Premier cycle,Environnement
Majeure en sciences de l'environnement,6004,Majeure,Sciences de l'environnement,Premier cycle,Environnement
Programme court en environnement international,639,Attestation d'études,Environnement international,Deuxième cycle,Environnement
Programme court en gestion intégrée des zones côtières,961,Attestation d'études,Gestion intégrée dez zones côtières,Deuxième cycle,Environnement
Diplôme d'études supérieures spécialisées en environnement international (profil professionnel),1937,Diplôme de deuxième cycle,Environnement international (profil professionnel),Deuxième cycle,Environnement
Diplôme d'études supérieures spécialisées en environnement international (profil recherche appliquée),1938,Diplôme de deuxième cycle,Environnement international (profil recherche appliquée),Deuxième cycle,Environnement
Diplôme d'études supérieures spécialisées en gestion intégrée des zones côtières (profil professionnel),2477,Diplôme de deuxième cycle,Gestion intégrée des zones côtières (profil professionnel),Deuxième cycle,Environnement
Diplôme d'études supérieures spécialisées en gestion intégrée des zones côtières (profil profil recherche appliquée),2478,Diplôme de deuxième cycle,Gestion intégrée des zones côtières (profil recherche appliquée),Deuxième cycle,Environnement
Certificat en planification financière (cheminement général),4731,Certificat,Planification financière(cheminement général),Premier cycle,Finance
Certificat en planification financière (cheminement mouvement Desjardins),4751,Certificat,Planification financière (cheminement Mouvement Desjardins),Premier cycle,Finance
Baccalauréat en administration (concentration en comptabilité et finance),6774,Baccalauréat,Administration (comptabilité et finance),Premier cycle,Finance
Baccalauréat en administration (concentration en planification financière),6770,Baccalauréat,Administration (planification financière),Premier cycle,Finance
Diplôme d'études supérieures spécialisées en finance d'entreprise,3116,Diplôme de deuxième cycle,Finance d'entreprise,Deuxième cycle,Finance
Programme court d'initiation à la gestion de la diversité,629,Attestation d'études,Gestion de la diversité,Premier cycle,Gestion des ressources humaines et relations de travail
Programme court d'initiation à la gestion des ressources humaines,564,Attestation d'études,Gestion des ressources humaines,Premier cycle,Gestion des ressources humaines et relations de travail
Certificat en gestion des ressources humaines,4209,Certificat,Gestion des ressources humaines,Premier cycle,Gestion des ressources humaines et relations de travail
Certificat en relations du travail,4099,Certificat,Relations du travail,Premier cycle,Gestion des ressources humaines et relations de travail
Baccalauréat en administration (concentration en gestion des ressources humaines),7564,Baccalauréat,Administration (gestion des ressources humaines),Premier cycle,Gestion des ressources humaines et relations de travail
Programme court en gestion contemporaine des ressources humaines,679,Attestation d'études,Gestion contemporaine des ressources humaines,Deuxième cycle,Gestion des ressources humaines et relations de travail
Programme court en gestion des ressources humaines en contexte de projet,767,Attestation d'études,Gestion des ressources humaines en contexte de projet,Deuxième cycle,Gestion des ressources humaines et relations de travail
Diplôme d'études supérieures spécialisées en gestion des ressources humaines dans l'économie du savoir,1658,Diplôme de deuxième cycle,Gestion des ressources humaines dans l'économie du savoir,Deuxième cycle,Gestion des ressources humaines et relations de travail
Programme court en gestion de la transformation numérique,9362,Attestation d'études,Gestion de la transformation numérique,Deuxième cycle,Gestion des technologies de l'information
Programme court en gouvernance des technologies de l'information,589,Attestation d'études,Gouvernance des technologies de l'information,Deuxième cycle,Gestion des technologies de l'information
Diplôme d'études supérieures spécialisées en gouvernance des technologies de l'information,1910,Diplôme de deuxième cycle,Gouvernance des technologies de l'information,Deuxième cycle,Gestion des technologies de l'information
"Maîtrise en sciences (technologies de l'information), profil avec mémoire",1811,Maîtrise,"Sciences (technologie de l'information), profil avec mémoire",Deuxième cycle,Gestion des technologies de l'information
"Maîtrise en sciences (technologies de l'information), profil sans mémoire",1810,Maîtrise,"Sciences (technologie de l'information), profil sans mémoire",Deuxième cycle,Gestion des technologies de l'information
Programme court en développement de logiciels,127,Attestation d'études,Développement de logiciels,Premier cycle,Informatique et technologies de l'information
Programme court en science des données,865,Attestation d'études,Science des données,Premier cycle,Informatique et technologies de l'information
Certificat en informatique appliquée,4128,Certificat,Informatique appliquée,Premier cycle,Informatique et technologies de l'information
Certificat en science des données,4865,Certificat,Science des données,Premier cycle,Informatique et technologies de l'information
Majeure en informatique,6010,Majeure,Informatique ,Premier cycle,Informatique et technologies de l'information
Programme court en technologie de l'information,810,Attestation d'études,Technologie de l'information,Deuxième cycle,Informatique et technologies de l'information
"Maîtrise en sciences (technologie de l'information), profil avec mémoire",1811,Maîtrise,"Sciences (technologie de l'information), profil avec mémoire",Deuxième cycle,Informatique et technologies de l'information
"Maîtrise en sciences (technologie de l'information), profil sans mémoire",1810,Maîtrise,"Sciences (technologie de l'information), profil sans mémoire",Deuxième cycle,Informatique et technologies de l'information
Programme court d'approfondissement de l'anglais,82,Attestation d'études,Approfondissement de l'anglais,Premier cycle,Lettres et langues
Programme court de perfectionnement  en français écrit,73,Attestation d'études,Perfectionnement en français écrit,Premier cycle,Lettres et langues
Programme court d'initiation à la traduction en français et en espagnol,9020,Attestation d'études,Initiation à la traduction en français et en espagnol,Premier cycle,Lettres et langues
Programme court en anglais fonctionnel,81,Attestation d'études,Anglais fonctionnel,Premier cycle,Lettres et langues
Programme court en enseignement de l'anglais langue seconde,502,Attestation d'études,Enseignement de l'anglais langue seconde,Premier cycle,Lettres et langues
Programme court en espagnol,105,Attestation d'études,Espagnol,Premier cycle,Lettres et langues
Programme court en français langue seconde,229,Attestation d'études,Français langue seconde,Premier cycle,Lettres et langues
Programme court en littérature populaire,114,Attestation d'études,Littérature populaire,Premier cycle,Lettres et langues
Programme court en science du langage,921,Attestation d'études,Sciences du langage,Premier cycle,Lettres et langues
Certificat en langue anglaise,4924,Certificat,Langue anglaise,Premier cycle,Lettres et langues
Certificat en langue et cultures hispaniques,4652,Certificat,Langue et cultures hispaniques,Premier cycle,Lettres et langues
Certificat en pratiques rédactionnelles,4424,Certificat,Pratiques rédactionnelles,Premier cycle,Lettres et langues
Majeure en culture et expression écrites,6378,Majeure,Culture et expressions écrites,Premier cycle,Lettres et langues
Majeure en langue et linguistique,6632,Majeure,Langue et linguistique,Premier cycle,Lettres et langues
Certificat en études pluridisciplinaires,4372,Certificat,Études pluridisciplinaires,Premier cycle,Pluridisciplinaire
Baccalauréat des arts ,7695,Baccalauréat général,Arts,Premier cycle,Pluridisciplinaire
Programme court Sens et projet de vie,571,Attestation d'études,Sens et projet de vie,Deuxième cycle,Pluridisciplinaire
Certificat en science et technologie,4401,Certificat,Science et technologie,Premier cycle,Sciences
Programme court  d'études internationales et interculturelles,675,Attestation d'études,Études internationales et interculturelles,Premier cycle,Sciences humaines et sociales
Programme court d'introduction à la psychologie,259,Attestation d'études,Introduction à la psychologie,Premier cycle,Sciences humaines et sociales
Programme court  en études québécoises,683,Attestation d'études,Études québécoises,Premier cycle,Sciences humaines et sociales
Programme court en géographie humaine,755,Attestation d'études,Géographie humaine,Premier cycle,Sciences humaines et sociales
Programme court en psychologie du développement,228,Attestation d'études,Psychologie du développement,Premier cycle,Sciences humaines et sociales
Programme court en psychologie sociale,199,Attestation d'études,Psychologie sociale,Premier cycle,Sciences humaines et sociales
Certificat en études internationales,4076,Certificat,Études internationales,Premier cycle,Sciences humaines et sociales
Certificat en études québécoise,5683,Certificat,Études québécoises,Premier cycle,Sciences humaines et sociales
Certificat en psychologie,4350,Certificat,Psychologie,Premier cycle,Sciences humaines et sociales
Certificat en sciences sociales,4373,Certificat,Sciences sociales,Premier cycle,Sciences humaines et sociales
Diplôme d'études supérieures spécialisées en santé mentale,3578,Diplôme de deuxième cycle,Santé mentale,Deuxième cycle,Sciences humaines et sociales
